case,source,ip_first_month_bpd,month12_bpd,month36_bpd,cum_1yr_bbl,cum_5yr_bbl,cum_10yr_bbl,cum_20yr_bbl,eur_bbl,months,note
"IFR 2020 type curve (qi 342, b 1.7, Di 3.5/yr)",Tecolutla Type Curve.xlsx / Model!I28:L28,300.2,111.6,61.2,62093.0,157618.0,224655.0,314451.0,407124,417,no economic limit; 401 kbbl over 417 months in the workbook
IFR 2020 curve to a 10 bbl/d limit,same,300.2,111.6,61.2,62093.0,157618.0,224655.0,314451.0,380356,360,
"IFR 2023 economics, TEC-12 incremental to economic limit",2023 Tec-12 Economics.xlsm,300.2,111.6,61.2,62093.0,157618.0,224655.0,234628.0,234628,131,235 kbbl incremental in the 2024 model (task 1); 131 months to Nov 2034
GLJ YE2020 1P TEC-12 Dir,Gross Oil Monthly Forecast by Well (Kevin).xlsx daily,195.8,129.0,64.7,58120.0,160050.0,203030.0,203030.0,203030,116,GLJ economic life applied; on stream May 2021
GLJ YE2020 2P TEC-12 Dir,Gross Oil Monthly Forecast by Well (Kevin).xlsx daily,221.0,156.7,88.7,67970.0,204570.0,276810.0,340280.0,342940,248,GLJ economic life applied; on stream May 2021
GLJ YE2020 3P TEC-12 Dir,Gross Oil Monthly Forecast by Well (Kevin).xlsx daily,270.3,193.7,113.3,83510.0,257740.0,357200.0,452880.0,501780,356,GLJ economic life applied; on stream May 2021
GLJ YE2020 2P TEC-10 remaining (for comparison),same,59.7,80.3,53.5,31460.0,111930.0,162090.0,208650.0,211530,252,from Jan 2021
"Petrel Robertson base (100 bbl/d, >100 kbbl)",Petrel Robertson Tec-12 Assessment.pdf p.2,100.0,37.2,20.4,20687.0,52513.0,74847.0,76075.0,76075,360,shape assumed = IFR curve scaled to 100 bbl/d first month; PR gives rate and EUR only
"Petrel Robertson upside (200 bbl/d, ~200 kbbl)",same,200.0,74.3,40.8,41374.0,105026.0,149695.0,209528.0,253443,360,shape assumed as above
Simmons low (120 bbl/d),Simmons Scenarios - Tec 12 and Tec 13.xlsx,120.0,,,,,,,390420,96,8-year sales for TEC-12 AND TEC-13 together (Tec-13 on stream Jan 2022); not a single-well EUR
Simmons most likely (170 bbl/d),Simmons Scenarios - Tec 12 and Tec 13.xlsx,170.0,,,,,,,504274,96,8-year sales for TEC-12 AND TEC-13 together (Tec-13 on stream Jan 2022); not a single-well EUR
Simmons upper likely (235 bbl/d),Simmons Scenarios - Tec 12 and Tec 13.xlsx,235.0,,,,,,,651664,96,8-year sales for TEC-12 AND TEC-13 together (Tec-13 on stream Jan 2022); not a single-well EUR
Simmons high (300 bbl/d),Simmons Scenarios - Tec 12 and Tec 13.xlsx,300.0,,,,,,,799323,96,8-year sales for TEC-12 AND TEC-13 together (Tec-13 on stream Jan 2022); not a single-well EUR
"TEC-10 actual, Arps fit to 15 months",task 4 daily sheet,153.2,76.7,30.5,39651.0,90405.0,102180.0,102180.0,102180,360,"fit qi 159, Di 0.96/yr, b 0.61"
TEC-10 actual + 2020-22 field-sales constraint,task 4,146.8,79.7,32.1,39673.0,92803.0,103511.0,103511.0,103511,360,"fit qi 152, Di 0.79/yr, b 0.49; TEC-10 taken as 90 % of commingled field sales"
"Four PEMEX wells, average, Arps fit (240 months)",task 4 CNH monthly,258.7,110.5,56.0,59509.0,148042.0,203093.0,269977.0,315265,360,"fit qi 279, Di 1.91/yr, b 1.34"
"Recommended low (P90): first month 100 bbl/d, Di 0.79/yr, b 0.49",this study,100.0,54.3,21.8,27021.0,63206.0,65489.0,65489.0,65489,360,10 bbl/d economic cut-off
"Recommended base (P50): first month 180 bbl/d, Di 0.79/yr, b 0.90",this study,180.0,104.4,52.8,49760.0,133194.0,178266.0,217613.0,217613,360,10 bbl/d economic cut-off
"Recommended high (P10): first month 300 bbl/d, Di 1.91/yr, b 1.34",this study,300.0,128.1,64.9,69013.0,171687.0,235531.0,313097.0,365618,360,10 bbl/d economic cut-off
